,Baseline,A_Enhanced,Model0,Model1,Model2,Model3,Model4,Model5,Model6,Model7,Model8,Model9,Model10,Model12,Model13,Model14,Model15,Model16,Model17,Model18
Test Accuracy,0.9094,0.9172,0.9018,0.9059,0.9155,0.9151,0.9188,0.9212,0.9298,0.9227,0.9298,0.9353,0.8294,0.9378,0.929,0.9392,0.9292,0.9317,0.9349,0.9155
Training Accuracy,0.9865,0.9984,0.9775,0.9741,0.9841,0.9887,0.9797,0.9829,0.9932,0.9853,0.9909,0.9988,0.9457,0.9997,0.9941,0.9994,0.9927,0.9983,0.9995,0.9927
Validation Accuracy,0.947,0.9526,0.9386,0.9424,0.9502,0.9493,0.9466,0.9479,0.9572,0.9499,0.9569,0.959,0.8959,0.9615,0.9581,0.961,0.9525,0.9581,0.9606,0.9498
Early Stopping Patience,10,18.0,20.0,20,20,20,20,20,20,20,20,20,20,15,10,15,10,15,15,15
ReduceLROnPlateau Patience,-,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,8,5,5,5,10
ReduceLROnPlateau Factor,-,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Precision,-,-,0.9052,0.9052,0.9177,0.9169,0.9211,0.9233,0.9309,0.925,0.9317,0.9373,0.8398,0.9385,0.9308,0.9402,0.9302,0.9331,0.9356,0.9177
Recall,-,-,0.9018,0.9018,0.9155,0.9151,0.9188,0.9212,0.9298,0.9227,0.9298,0.9353,0.8294,0.9378,0.929,0.9392,0.9292,0.9317,0.9349,0.9155
F1-score,-,-,0.9014,0.9014,0.9151,0.915,0.9187,0.921,0.9297,0.9225,0.9296,0.9353,0.8288,0.9377,0.9288,0.9392,0.9291,0.9317,0.9348,0.9154
Data Aug,-,-,-,Reduced,Reduced + Shear + Brightness,Shear_0.3,+ Noise,Borders white,+ Morphological,+ BW Noise,Final modified,Final modified,Final modified,Final modified,Final modified,Final modified,Final modified,Final modified,Final modified,Final modified
Aug factor,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3
BatchNorm,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,First conv layer,First conv layer,1+2 conv layer,First conv layer,First conv layer
GAP,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-
